asset_class,gamma,skill,overconfidence,strategy,cagr,cagr_mean,volatility,sharpe,sharpe_p25,sharpe_p75,sortino,max_drawdown,final_multiple,effective_n,turnover,n,beat_risk_only,beat_market_hold,beat_risk_only_cagr,beat_market_hold_cagr
equities,0.5,0.2,2.0,risk_only,0.14623108783541816,0.1301564876880053,0.28967022274207493,0.46842038986336665,0.238040119142372,0.5958664070602046,0.8030814711359116,-0.3944980183102699,1.7252784376131274,3.1718582918757043,0.02622308178099971,40,0.0,0.575,0.0,0.55
equities,0.5,0.2,2.0,views_calibrated_conf,0.14174370229528122,0.13676522803399224,0.2801755747169123,0.45912623623051385,0.2996008817552164,0.6171621679886193,0.7617021183647917,-0.37904537420221374,1.6985596154744713,3.1648578378125425,0.27258069601493085,40,0.675,0.65,0.675,0.675
equities,0.5,0.2,2.0,views_full_conf,0.12009732887582192,0.13536993546848022,0.25633564555347244,0.4061506670069778,0.24614267319159325,0.655317630871182,0.6832755283664051,-0.3460131717142554,1.5734067723066882,3.045003438873139,0.4677044196236708,40,0.55,0.65,0.575,0.575
equities,0.5,0.2,2.0,views_stated_conf,0.11828389403339301,0.13754607317251824,0.2576731118357677,0.40317818492379465,0.3048367373854161,0.636161790130991,0.674317737796504,-0.35361920063110097,1.5632171247406004,3.0646124947199294,0.46315223787188586,40,0.575,0.675,0.525,0.65
equities,0.5,0.4,1.0,equal_weight,0.12341059365887486,0.12675011450781187,0.2256558477961915,0.46851391738540443,0.3248717034062219,0.642302409312645,0.784591379980037,-0.2855686051005571,1.5920383947690195,5.999999999999999,0.0,40,0.65,0.7,0.375,0.6
equities,0.5,0.4,1.0,market_hold,0.12306716854170785,0.1049495198569231,0.3366874814448674,0.42907420899583437,0.22398392939148923,0.5363240853411446,0.7176054294318316,-0.4283798073581172,1.5901201847861306,1.0,0.0,40,0.425,0.0,0.45,0.0
equities,0.5,0.4,1.0,risk_only,0.14623108783541816,0.1301564876880053,0.28967022274207493,0.46842038986336665,0.238040119142372,0.5958664070602046,0.8030814711359116,-0.3944980183102699,1.7252784376131274,3.1718582918757043,0.02622308178099971,40,0.0,0.575,0.0,0.55
equities,0.5,0.4,1.0,views_calibrated_conf,0.15215299719070285,0.1585858616967217,0.2727387083627631,0.544995646335964,0.40216160489891006,0.6678137324893116,0.9429303596983861,-0.3513094716854789,1.7612161652404743,3.1642314413676322,0.326641024607028,40,0.775,0.75,0.725,0.725
equities,0.5,0.4,1.0,views_full_conf,0.16875061528685242,0.16746259354685006,0.25635381819534153,0.5570609074980529,0.37749090494766846,0.7374977299248616,0.9376115989029438,-0.33144679432386975,1.8647424597885722,3.045099891870111,0.4675084324641087,40,0.8,0.8,0.8,0.8
equities,0.5,0.4,1.0,views_stated_conf,0.16233524676376931,0.16614527048720332,0.2603167934636894,0.5480613230682598,0.41606990192726606,0.766667168406011,0.9250945436264624,-0.33469908464186593,1.8242428603422063,3.114001407245989,0.44272924677037917,40,0.8,0.825,0.725,0.8
equities,0.5,0.4,2.0,equal_weight,0.12341059365887486,0.12675011450781187,0.2256558477961915,0.46851391738540443,0.3248717034062219,0.642302409312645,0.784591379980037,-0.2855686051005571,1.5920383947690195,5.999999999999999,0.0,40,0.65,0.7,0.375,0.6
equities,0.5,0.4,2.0,market_hold,0.12306716854170785,0.1049495198569231,0.3366874814448674,0.42907420899583437,0.22398392939148923,0.5363240853411446,0.7176054294318316,-0.4283798073581172,1.5901201847861306,1.0,0.0,40,0.425,0.0,0.45,0.0
equities,0.5,0.4,2.0,risk_only,0.14623108783541816,0.1301564876880053,0.28967022274207493,0.46842038986336665,0.238040119142372,0.5958664070602046,0.8030814711359116,-0.3944980183102699,1.7252784376131274,3.1718582918757043,0.02622308178099971,40,0.0,0.575,0.0,0.55
equities,0.5,0.4,2.0,views_calibrated_conf,0.15215299719070285,0.1585858616967217,0.2727387083627631,0.544995646335964,0.40216160489891006,0.6678137324893116,0.9429303596983861,-0.3513094716854789,1.7612161652404743,3.1642314413676322,0.326641024607028,40,0.775,0.75,0.725,0.725
equities,0.5,0.4,2.0,views_full_conf,0.16875061528685242,0.16746259354685006,0.25635381819534153,0.5570609074980529,0.37749090494766846,0.7374977299248616,0.9376115989029438,-0.33144679432386975,1.8647424597885722,3.045099891870111,0.4675084324641087,40,0.8,0.8,0.8,0.8
equities,0.5,0.4,2.0,views_stated_conf,0.16750226291396075,0.16723141476382392,0.25661202006825634,0.5546959630163806,0.376411119242958,0.728718645942968,0.9226878217975216,-0.33097660584123356,1.8568057477402673,3.0458417928266464,0.46677497158911874,40,0.8,0.8,0.8,0.775
equities,1.2,0.0,1.0,equal_weight,0.12341059365887486,0.12675011450781187,0.2256558477961915,0.46851391738540443,0.3248717034062219,0.642302409312645,0.784591379980037,-0.2855686051005571,1.5920383947690195,5.999999999999999,0.0,40,0.625,0.7,0.425,0.6
equities,1.2,0.0,1.0,market_hold,0.12306716854170785,0.1049495198569231,0.3366874814448674,0.42907420899583437,0.22398392939148923,0.5363240853411446,0.7176054294318316,-0.4283798073581172,1.5901201847861306,1.0,0.0,40,0.35,0.0,0.375,0.0
equities,1.2,0.0,1.0,risk_only,0.13477479333092202,0.1286509297403245,0.26670308279795807,0.44979510366716813,0.2695294930919465,0.6399254587037934,0.7516994286408649,-0.3696834808299144,1.6575375820884322,4.293553439665313,0.017947018026381822,40,0.0,0.65,0.0,0.625
equities,1.2,0.0,1.0,views_calibrated_conf,0.1049084827304575,0.12091863259229998,0.2620881138957546,0.38246002929126566,0.25726818213938146,0.5808244317688904,0.6590236085726529,-0.362072499367357,1.489840778502366,4.134311721329712,0.22646627721381035,40,0.325,0.525,0.3,0.55
equities,1.2,0.0,1.0,views_full_conf,0.127065806796689,0.11686492026437914,0.2531835822154345,0.4352317016600703,0.21034930566646842,0.5527401814077028,0.7190405324288344,-0.3402320932598053,1.6130373118566297,3.1385158213325246,0.4748162993150683,40,0.45,0.575,0.4,0.55
equities,1.2,0.0,1.0,views_stated_conf,0.11751456068831578,0.11769572621180069,0.25312980157706705,0.4105641533283706,0.2381211999970944,0.5568270155996072,0.697709353793377,-0.35318938259528265,1.5589110076778279,3.437854085790966,0.43225499352094265,40,0.4,0.6,0.4,0.6
equities,1.2,0.0,2.0,equal_weight,0.12341059365887486,0.12675011450781187,0.2256558477961915,0.46851391738540443,0.3248717034062219,0.642302409312645,0.784591379980037,-0.2855686051005571,1.5920383947690195,5.999999999999999,0.0,40,0.625,0.7,0.425,0.6
equities,1.2,0.0,2.0,market_hold,0.12306716854170785,0.1049495198569231,0.3366874814448674,0.42907420899583437,0.22398392939148923,0.5363240853411446,0.7176054294318316,-0.4283798073581172,1.5901201847861306,1.0,0.0,40,0.35,0.0,0.375,0.0
equities,1.2,0.0,2.0,risk_only,0.13477479333092202,0.1286509297403245,0.26670308279795807,0.44979510366716813,0.2695294930919465,0.6399254587037934,0.7516994286408649,-0.3696834808299144,1.6575375820884322,4.293553439665313,0.017947018026381822,40,0.0,0.65,0.0,0.625
equities,1.2,0.0,2.0,views_calibrated_conf,0.1049084827304575,0.12091863259229998,0.2620881138957546,0.38246002929126566,0.25726818213938146,0.5808244317688904,0.6590236085726529,-0.362072499367357,1.489840778502366,4.134311721329712,0.22646627721381035,40,0.325,0.525,0.3,0.55
